actor_id,actor_name
A0001,Abimana Aryasatya
A0002,Acha Septriasa
A0003,Achmad Megantara
A0004,Adhisty Zara
A0005,Adil Ibra
A0006,Adinda Halona
A0007,Adinda Thomas
A0008,Adinia Wirasti
A0009,Adipati Dolken
A0010,Aghniny Haque
A0011,Ahmad Zulhoir Mardia
A0012,Ajil Ditto
A0013,Al Ghazali
A0014,Alex Abbad
A0015,Aminah Cendrakasih
A0016,Ananda Omesh
A0017,Anastasia Adamova
A0018,Angga Dwimas Sasongko
A0019,Angga Yunanda
A0020,Anja Lilani Ariella
A0021,Anneke Fitriani
A0022,Anya Geraldine
A0023,Aqi Singgih
A0024,Arawinda Kirana
A0025,Ardhito Pramono
A0026,Ariel Tatum
A0027,Ario Bayu
A0028,Ariyo Wahab
A0029,Arswendi Nasution
A0030,Arswendy Bening Swara
A0031,Asmara Abigail
A0032,Asri Welas
A0033,Atikah Suhaime
A0034,Ayushita
A0035,Baskara Mahendra
A0036,Bayu Skak
A0037,Bene Dion Rajagukguk
A0038,Boris Bokir
A0039,Brandon Salim
A0040,Bront Palarae
A0041,Bucek Depp
A0042,Bunga Citra Lestari
A0043,Cahwati Sugiarto
A0044,Cathrine Wilson
A0045,Chicco Kurniawan
A0046,Christian Audi
A0047,Christine Hakim
A0048,Clairine Clay
A0049,Clara Bernadeth
A0050,Cornelia Agatha
A0051,Cut Meyriska
A0052,Cut Mini
A0053,Cut Mini Theo
A0054,Daus Separo
A0055,Dea Panendra
A0056,Deddy Mizwar
A0057,Deddy Sutomo
A0058,Della Dartyan
A0059,Denny Sumargo
A0060,Deva Mahenra
A0061,Dhimas Danang
A0062,Dian Sastrowardoyo
A0063,Dimas Aditya
A0064,Dion Wiyoko
A0065,Djenar Maesa Ayu
A0066,Donny Alamsyah
A0067,Donny Damara
A0068,Dorothea Quin Haryati
A0069,Edbert Destiny
A0070,Elang El Gibran
A0071,Elizabeth Christine
A0072,Endah Laras
A0073,Endy Arfian
A0074,Ernest Prakasa
A0075,Estelle Linden
A0076,Fachry Albar
A0077,Fahrani
A0078,Fajar Suharno
A0079,Fedi Nuril
A0080,Fergie Giovanna Brittany
A0081,Fitria Rasyidi
A0082,Ganindra Bimo
A0083,Ge Pamungkas
A0084,Ghita Bhebhita
A0085,Gisella Anastasia
A0086,Giulio Parengkuan
A0087,Gogot Suryanto
A0088,Graciella Abigail
A0089,Griselda Agatha
A0090,Gritte Agatha
A0091,Hanggini
A0092,Hannah Al Rashid
A0093,Herjunot Ali
A0094,Herlyani Dias Sukmahati
A0095,Hj. Tonah
A0096,Iedham Abditama
A0097,Indah Permatasari
A0098,Indra Jegel
A0099,Indro Warkop
A0100,Iqbaal Dhiafakhri Ramadhan
A0101,Ira Wibowo
A0102,Ismail Basbeth
A0103,Iwa K
A0104,Jeff Smith
A0105,Jefri Nichol
A0106,Jerome Kurnia
A0107,Jessica Mila
A0108,Jonathan Mulia
A0109,Josephine Firmstone
A0110,Joshua Suherman
A0111,Juan Bione Subiantoro
A0112,Julie Estelle
A0113,Karina Suwandhi
A0114,Kedung Darma R.
A0115,Kesha Alvaro
A0116,Kin Wah Chew
A0117,Kristo Immanuel
A0118,Kukuh
A0119,Ladya Cheryl
A0120,Landung Simatupang
A0121,Laura Basuki
A0122,Lukman Sardi
A0123,Luna Maya
A0124,Lutesha
A0125,Mandra
A0126,Marcus Hacquebord
A0127,Mariana Renata
A0128,Marissa Anita
A0129,Marsha Timothy
A0130,Maryati Tohir
A0131,Mathias Muchus
A0132,Maudy Koesnaedi
A0133,Maulidina Putri
A0134,Mawar Eva de Jongh
A0135,Mbok Tun
A0136,Merriel Jessica Tarihoran
A0137,Muhammad Khan
A0138,Muzakki Ramdhan
A0139,Natasha Wilona
A0140,Nayla D. Purnama
