director_id,director
D0001,Angga Dwimas Sasongko
D0002,Anggy Umbara
D0003,Archie Hekagery
D0004,Awi Suryadi
D0005,Azhar Kinoi Lubis
D0006,Bene Dion Rajagukguk
D0007,Benni Setiawan
D0008,Edwin
D0009,Ernest Prakasa
D0010,Fajar Nugros
D0011,Faozan Rizal
D0012,Garin Nugroho
D0013,Gina S. Noer
D0014,Hadrah Daeng Ratu
D0015,Hanung Bramantyo
D0016,Herwin Novianto
D0017,Joko Anwar
D0018,Kamila Andini
D0019,Muhadkly Acho
D0020,Ody C Harahap
D0021,Rako Prijanto
D0022,Rano Karno
D0023,Riri Riza
D0024,Rizal Mantovani
D0025,Rudy Soedjarwo
D0026,Thoersi Argeswara
D0027,Upi Avianto
D0028,Wregas Bhanuteja
D0029,Yandy Laurens
